Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Incomplete Rides,Incomplete Rides Reason,Ride Distance (KM),Driver Ratings,Customer Rating,Payment Method,Price_BND,Pickup ,Drop ,Driver ID,Platform Fee BND,Driver Earnings BND,Month,Year,Day of Week,On Time Arrival,Driver Shift Hours,Offer ID,Offer Sent Timestamp,Offer Result,Response Timestamp,Driver Session ID,Session Start,Session End,Request Timestamp,Driver Assigned Timestamp,Driver Arrival Timestamp,Pickup Timestamp,Dropoff Timestamp,Cancellation Timestamp,Pickup Lat,Pickup Lon,Dropoff Lat,Dropoff Lon,Fare Base,Distance Fee,Time Fee,Total Fare Authoritative,Fare ID,Invoice ID,Currency,Vehicle ID,Vehicle Active Flag,Marketplace Region,Estimated ETA at Assignment,Surge Region,Driver Acceptance Latency,Customer Signup Date,Data Quality Flag
2025-01-11,18:04:38,"""CNR7294023""",Cancelled,"""CID4171544""",Compact,Bangar,Serusop,10.8,42.3,,1.0,Customer Demand,3.81,4.6,4.2,Card,9.09,Tutong,Brunei-Muara,Ibrahim Daud,1.49,6.43,February,2024,Saturday,1.0,7.9,OFF-200074,2/24/2024 18:03,rejected,2/24/2024 18:03,SESS-97398,2/24/2024 14:04,2/24/2024 21:04,2/24/2024 18:04,2025-01-11 02:22:00,2025-01-11 02:26:00,2025-01-11 02:32:00,2025-01-11 02:52:00,,4.80558,114.7372,4.90277,114.88197,3.5,4.92,3.38,11.8,FQ-7097,INV-940986,BND,VEH-819,Yes,Belait,8,Normal,3,10/12/2023,Pass
2025-01-22,13:52:15,"""CNR9646752""",Cancelled by Driver,"""CID5912235""",SUV,Jerudong,Muara,13.9,16.0,,,,6.32,4.7,3.6,Card,7.49,Brunei-Muara,Brunei-Muara,Aiman Hakim,1.73,5.36,June,2024,Monday,0.0,5.5,OFF-200087,6/3/2024 13:51,rejected,6/3/2024 13:51,SESS-93521,6/3/2024 9:52,6/3/2024 16:52,6/3/2024 13:52,2025-01-22 20:35:00,2025-01-22 20:39:00,2025-01-22 20:41:00,2025-01-22 20:52:00,,4.89278,114.88986,4.86314,114.86441,3.5,17.78,1.28,30.2,FQ-7116,INV-166889,BND,VEH-146,Yes,Tutong,9,High Demand Zone,3,12/4/2023,Pass
2025-01-28,17:37:07,"""CNR6403761""",Cancelled,"""CID4335550""",Compact,Muara,Lambak,4.6,32.9,1.0,,,27.17,4.9,4.1,Dart Wallet,30.67,Belait,Belait,Haji Ramli,3.08,19.66,May,2024,Thursday,0.0,9.3,OFF-200116,5/9/2024 17:36,accepted,5/9/2024 17:36,SESS-68895,5/9/2024 13:37,5/9/2024 18:37,5/9/2024 17:37,2025-01-28 16:55:00,2025-01-28 16:56:00,2025-01-28 17:06:00,2025-01-28 17:14:00,5/9/2024 17:43,4.56322,114.35532,4.52656,114.19165,3.5,3.92,2.63,12.05,FQ-5044,INV-648494,BND,VEH-355,Yes,Brunei-Muara,6,Normal,11,5/25/2023,Pass
2025-01-26,16:58:40,"""CNR3034053""",Cancelled by Driver,"""CID7011064""",SUV,Berakas,Kuala Belait,5.4,17.4,,,,2.66,3.7,4.8,Cash,26.94,Brunei-Muara,Brunei-Muara,Ahmad Zaki,4.73,20.1,May,2024,Tuesday,1.0,12.0,OFF-200099,5/21/2024 16:58,accepted,5/21/2024 16:58,SESS-75925,5/21/2024 12:58,5/21/2024 18:58,5/21/2024 16:58,2025-01-26 14:04:00,2025-01-26 14:08:00,2025-01-26 14:18:00,2025-01-26 14:50:00,,4.95755,114.97649,4.93414,114.8688,3.5,2.52,1.39,12.41,FQ-7603,INV-358639,BND,VEH-696,Yes,Belait,13,Normal,14,2/4/2024,Pass
2025-01-31,16:02:47,"""CNR7028693""",Cancelled by Driver,"""CID5551104""",Sedan,Muara,Rimba,12.2,22.2,,,,13.16,3.8,4.9,Card,22.82,Brunei-Muara,Brunei-Muara,Ridhwan Bakar,4.07,17.02,September,2024,Monday,1.0,7.0,OFF-200103,9/9/2024 16:01,accepted,9/9/2024 16:01,SESS-20959,9/9/2024 13:02,9/9/2024 17:02,9/9/2024 16:02,2025-01-31 15:57:00,2025-01-31 16:02:00,2025-01-31 16:05:00,2025-01-31 16:21:00,,4.8998,114.92244,4.96698,114.9224,3.5,5.6,1.78,13.82,FQ-7728,INV-412885,BND,VEH-504,Yes,Brunei-Muara,8,High Demand Zone,10,7/23/2023,Pass
2025-01-23,10:05:53,"""CNR8467869""",Cancelled,"""CID3130096""",Sedan,Jangsak,Mentiri,3.2,14.4,,,,7.18,4.8,4.8,Cash,5.34,Belait,Belait,,1.28,3.56,June,2024,Thursday,,6.2,OFF-200151,6/20/2024 10:05,accepted,6/20/2024 10:05,SESS-16338,6/20/2024 8:05,6/20/2024 12:05,6/20/2024 10:05,2025-01-23 10:05:00,2025-01-23 10:07:00,2025-01-23 10:15:00,2025-01-23 10:36:00,,4.58805,114.24636,4.67083,114.25141,3.5,3.92,1.15,13.57,FQ-8742,INV-105149,BND,VEH-510,Yes,Tutong,5,Normal,8,7/25/2023,Pass
2025-01-12,9:41:19,"""CNR4332965""",Completed,"""CID2809404""",Sedan,Bangar,Kuala Belait,8.3,11.7,,,,22.53,4.0,3.8,Card,31.47,Belait,Brunei-Muara,Roslan Ahmad,4.48,20.1,February,2024,Sunday,1.0,8.9,OFF-200130,2/25/2024 9:40,accepted,2/25/2024 9:40,SESS-14930,2/25/2024 5:41,2/25/2024 12:41,2/25/2024 9:41,2025-01-12 08:57:00,2025-01-12 09:00:00,2025-01-12 09:10:00,2025-01-12 09:43:00,2/25/2024 9:47,4.5047,114.21765,4.93141,114.97093,3.5,3.92,0.94,7.95,FQ-7271,INV-680275,BND,VEH-675,Yes,Brunei-Muara,5,High Demand Zone,10,3/6/2023,Pass
2025-01-22,6:17:11,"""CNR2817835""",Completed,"""CID3004362""",Compact,Kiulap,Bandar Seri Begawan,14.8,26.1,,,,4.79,4.6,4.2,Online Banking,13.67,Belait,Tutong,Mohd Hafiz,1.7,11.55,September,2024,Sunday,1.0,9.8,OFF-200149,9/8/2024 6:16,accepted,9/8/2024 6:16,SESS-37455,9/8/2024 2:17,9/8/2024 8:17,9/8/2024 6:17,2025-01-22 20:40:00,2025-01-22 20:44:00,2025-01-22 20:54:00,2025-01-22 21:15:00,,4.61877,114.19491,4.69642,114.67254,3.5,5.43,2.09,10.02,FQ-8071,INV-674994,BND,VEH-678,Yes,Tutong,4,Normal,2,11/10/2023,Pass
2025-01-18,8:02:31,"""CNR9210055""",Completed,"""CID2341391""",SUV,Sengkurong,Bangar,9.5,34.1,1.0,,,27.07,3.8,4.8,Dart Wallet,12.86,Brunei-Muara,Brunei-Muara,Fadhil Junaidi,2.95,10.28,March,2024,Friday,0.0,7.6,OFF-200052,3/8/2024 8:02,accepted,3/8/2024 8:02,SESS-29233,3/8/2024 4:02,3/8/2024 9:02,3/8/2024 8:02,2025-01-17 23:58:00,2025-01-18 00:03:00,2025-01-18 00:07:00,2025-01-18 00:16:00,3/8/2024 8:04,4.89535,114.86483,4.86959,114.89999,3.5,3.92,2.73,10.15,FQ-6058,INV-126854,BND,VEH-642,Yes,Brunei-Muara,13,Normal,8,8/20/2023,Pass
2025-01-08,6:15:38,"""CNR5259986""",Completed,"""CID9828317""",SUV,Muara,Lambak,3.4,23.1,,,,10.63,4.7,4.8,Dart Wallet,26.57,Brunei-Muara,Brunei-Muara,Syafiqah Yusof,5.85,22.12,October,2024,Thursday,1.0,5.5,OFF-200001,10/3/2024 6:14,accepted,10/3/2024 6:14,SESS-20137,10/3/2024 3:15,10/3/2024 7:15,10/3/2024 6:15,2025-01-08 20:52:00,2025-01-08 20:56:00,2025-01-08 21:06:00,2025-01-08 21:33:00,,4.97911,114.89109,4.96292,114.96792,3.5,21.23,1.85,26.58,FQ-6035,INV-931251,BND,VEH-214,Yes,Belait,12,Normal,12,9/21/2023,Pass
2025-01-09,13:52:15,"""CNR9646752""",Completed,"""CID5912235""",Compact,Muara,Berakas,13.9,16.0,,,,20.14,4.7,3.6,Online Banking,10.13,Brunei-Muara,Brunei-Muara,Aiman Hakim,1.44,7.09,June,2024,Monday,0.0,5.5,OFF-200087,6/3/2024 13:51,accepted,6/3/2024 13:51,SESS-93521,6/3/2024 9:52,6/3/2024 16:52,6/3/2024 13:52,2025-01-09 05:41:00,2025-01-09 05:42:00,2025-01-09 05:50:00,2025-01-09 06:01:00,,4.89278,114.88986,4.86314,114.86441,3.5,17.78,1.28,30.2,FQ-7116,INV-166889,BND,VEH-146,Yes,Temburong,9,High Demand Zone,3,12/4/2023,Pass
2025-01-12,10:28:25,"""CNR3519392""",Completed,"""CID4330172""",SUV,Jerudong,Tutong Town,2.4,43.6,,,,11.02,3.7,5.0,Online Banking,22.09,Brunei-Muara,Belait,Farhana Yusof,3.65,17.6,March,2024,Sunday,1.0,10.4,OFF-200157,3/24/2024 10:28,accepted,3/24/2024 10:28,SESS-31967,3/24/2024 8:28,3/24/2024 12:28,3/24/2024 10:28,2025-01-12 20:19:00,2025-01-12 20:22:00,2025-01-12 20:32:00,2025-01-12 21:02:00,,4.85539,114.92572,4.62118,114.16166,3.5,1.65,3.49,11.8,FQ-8281,INV-481805,BND,VEH-674,Yes,Brunei-Muara,11,High Demand Zone,3,1/28/2023,Pass
2025-01-29,21:26:16,"""CNR9924856""",Cancelled,"""CID5443075""",SUV,Tutong Beach,Bangar,9.0,23.4,,,,27.7,4.9,3.7,Online Banking,33.36,Belait,Belait,Mohd Hafiz,6.66,25.21,January,2024,Monday,0.0,4.3,OFF-200037,1/15/2024 21:25,accepted,1/15/2024 21:25,SESS-37455,1/15/2024 17:26,1/15/2024 23:26,1/15/2024 21:26,2025-01-29 18:06:00,2025-01-29 18:10:00,2025-01-29 18:12:00,2025-01-29 18:33:00,,4.5176,114.18781,4.60447,114.17037,3.5,2.81,1.87,6.68,FQ-6944,INV-424842,BND,VEH-678,Yes,Brunei-Muara,13,Normal,4,11/27/2023,Pass
2025-01-17,13:43:11,"""CNR9249380""",Cancelled,"""CID5685213""",SUV,Bangar,Serusop,7.0,31.9,,,,9.73,4.1,3.9,Dart Wallet,22.7,Belait,Brunei-Muara,Nurul Izzah,2.27,16.73,September,2024,Thursday,1.0,11.1,OFF-200129,9/12/2024 13:42,accepted,9/12/2024 13:42,SESS-35224,9/12/2024 11:43,9/12/2024 16:43,9/12/2024 13:43,2025-01-17 09:31:00,2025-01-17 09:35:00,2025-01-17 09:42:00,2025-01-17 10:13:00,,4.60794,114.25377,4.90001,114.92623,3.5,13.05,2.55,29.65,FQ-5272,INV-376808,BND,VEH-204,Yes,Tutong,13,High Demand Zone,1,7/10/2023,Pass
2025-01-19,20:22:11,"""CNR7665294""",Completed,"""CID5596375""",Compact,Berakas,Tutong Beach,3.1,22.3,,,,19.36,4.5,4.6,Card,19.49,Brunei-Muara,Belait,Fadhil Junaidi,4.34,13.33,November,2024,Friday,1.0,7.6,OFF-200191,11/29/2024 20:21,accepted,11/29/2024 20:21,SESS-29233,11/29/2024 15:22,11/29/2024 22:22,11/29/2024 20:22,2025-01-19 19:28:00,2025-01-19 19:32:00,2025-01-19 19:41:00,2025-01-19 20:06:00,11/29/2024 20:24,4.86634,114.86194,4.61182,114.16108,3.5,3.92,1.78,10.2,FQ-8230,INV-513393,BND,VEH-642,Yes,Temburong,13,Normal,6,9/21/2023,Pass
2025-01-08,14:53:05,"""CNR9806462""",Cancelled,"""CID3361602""",Compact,Bandar Seri Begawan,Jangsak,14.3,42.5,,,,5.28,4.8,4.8,Card,15.79,Brunei-Muara,Belait,Dayangku Siti,3.69,12.19,April,2024,Saturday,0.0,7.0,OFF-200187,4/6/2024 14:52,rejected,4/6/2024 14:52,SESS-38322,4/6/2024 12:53,4/6/2024 17:53,4/6/2024 14:53,2025-01-08 06:05:00,2025-01-08 06:07:00,2025-01-08 06:09:00,2025-01-08 06:15:00,4/6/2024 15:00,4.90633,114.94813,4.66645,114.22783,3.5,3.92,3.4,16.02,FQ-8440,INV-511256,BND,VEH-618,Yes,Temburong,4,High Demand Zone,6,9/25/2023,Pass
2025-01-25,17:31:04,"""CNR6842007""",Completed,"""CID5905633""",Sedan,Bangar,Muara,8.2,12.1,,,,29.65,4.4,4.8,Dart Wallet,24.36,Brunei-Muara,Brunei-Muara,Aiman Hakim,5.91,18.24,March,2024,Monday,1.0,11.8,OFF-200020,3/11/2024 17:30,rejected,3/11/2024 17:30,SESS-93521,3/11/2024 12:31,3/11/2024 19:31,3/11/2024 17:31,2025-01-25 13:00:00,2025-01-25 13:04:00,2025-01-25 13:14:00,2025-01-25 13:30:00,3/11/2024 17:35,4.85469,114.90842,4.87973,114.89058,3.5,3.92,0.97,6.89,FQ-8752,INV-828783,BND,VEH-146,Yes,Brunei-Muara,10,Normal,8,9/9/2023,Pass
2025-01-24,20:28:37,"""CNR5239998""",Cancelled by Driver,"""CID1535942""",SUV,Jangsak,Tutong Town,8.7,30.6,,,,8.96,4.0,3.9,Online Banking,23.06,Belait,Brunei-Muara,Ahmad Zaki,3.29,14.28,April,2024,Wednesday,1.0,7.2,OFF-200160,4/24/2024 20:27,rejected,4/24/2024 20:27,SESS-75925,4/24/2024 15:28,4/24/2024 21:28,4/24/2024 20:28,2025-01-24 16:16:00,2025-01-24 16:18:00,2025-01-24 16:27:00,2025-01-24 17:07:00,,4.51696,114.13943,4.8616,114.86799,3.5,16.78,2.45,23.73,FQ-6399,INV-765728,BND,VEH-696,Yes,Temburong,8,Normal,13,7/17/2023,Pass
2025-01-18,18:22:17,"""CNR2591553""",Completed,"""CID8719421""",Compact,Berakas,Bandar Seri Begawan,11.2,10.6,,,,7.0,4.5,4.4,Dart Wallet,16.3,Brunei-Muara,Brunei-Muara,Mohd Hafiz,3.84,11.49,June,2024,Saturday,0.0,4.7,OFF-200057,6/1/2024 18:21,rejected,6/1/2024 18:21,SESS-37455,6/1/2024 13:22,6/1/2024 20:22,6/1/2024 18:22,2025-01-18 01:59:00,2025-01-18 02:03:00,2025-01-18 02:08:00,2025-01-18 02:22:00,,4.91962,114.9778,4.86975,114.96503,3.5,13.64,0.85,25.49,FQ-7803,INV-510877,BND,VEH-678,Yes,Belait,10,High Demand Zone,8,7/5/2023,Pass
2025-01-28,22:44:07,"""CNR5104274""",Completed,"""CID8512777""",SUV,Rimba,Mata-Mata,2.3,12.2,,,,1.84,3.7,4.1,Dart Wallet,16.95,Brunei-Muara,Brunei-Muara,Awangku Mohd,3.42,11.59,November,2024,Tuesday,0.0,5.6,OFF-200021,11/12/2024 22:43,accepted,11/12/2024 22:43,SESS-35925,11/12/2024 17:44,11/13/2024 0:44,11/12/2024 22:44,2025-01-28 18:19:00,2025-01-28 18:22:00,2025-01-28 18:24:00,2025-01-28 18:59:00,,4.87373,114.97463,4.94652,114.8756,3.5,17.0,0.98,34.22,FQ-6795,INV-107350,BND,VEH-727,Yes,Tutong,5,High Demand Zone,8,5/30/2023,Pass
2025-01-15,18:49:30,"""CNR6338955""",Completed,"""CID6611339""",SUV,Bandar Seri Begawan,Mata-Mata,4.4,20.5,,,,10.49,3.9,4.8,Dart Wallet,11.33,Brunei-Muara,Brunei-Muara,Noraini Kassim,1.71,8.09,July,2024,Sunday,1.0,8.4,OFF-200088,7/28/2024 18:48,accepted,7/28/2024 18:48,SESS-88755,7/28/2024 16:49,7/28/2024 21:49,7/28/2024 18:49,2025-01-15 04:33:00,2025-01-15 04:37:00,2025-01-15 04:39:00,2025-01-15 05:18:00,,4.90686,114.91577,4.93584,114.94313,3.5,16.12,1.64,36.89,FQ-5557,INV-822221,BND,VEH-967,Yes,Brunei-Muara,8,High Demand Zone,12,8/3/2023,Pass
2025-01-31,11:03:06,"""CNR1752210""",Completed,"""CID3897629""",Sedan,Sengkurong,Muara,4.4,30.3,,,,1.59,4.3,4.5,Cash,9.38,Brunei-Muara,Belait,,1.12,5.99,February,2024,Thursday,,5.3,OFF-200048,2/8/2024 11:02,accepted,2/8/2024 11:02,SESS-16338,2/8/2024 8:03,2/8/2024 13:03,2/8/2024 11:03,2025-01-31 13:06:00,2025-01-31 13:07:00,2025-01-31 13:16:00,2025-01-31 13:26:00,,4.85678,114.96516,4.68926,114.35637,3.5,3.92,2.42,9.84,FQ-5275,INV-419149,BND,VEH-510,Yes,Brunei-Muara,11,Normal,12,5/28/2023,Pass
2025-01-07,12:36:25,"""CNR1592055""",Completed,"""CID7228523""",Sedan,Lambak,Kuala Belait,13.6,27.4,1.0,,,21.74,3.7,4.4,Cash,15.69,Tutong,Tutong,Farhana Yusof,3.19,9.71,March,2024,Saturday,0.0,6.9,OFF-200058,3/30/2024 12:35,rejected,3/30/2024 12:35,SESS-31967,3/30/2024 9:36,3/30/2024 13:36,3/30/2024 12:36,2025-01-07 14:35:00,2025-01-07 14:37:00,2025-01-07 14:44:00,2025-01-07 15:05:00,3/30/2024 12:43,4.66384,114.69476,4.65,114.74439,3.5,3.92,2.19,16.42,FQ-6317,INV-142125,BND,VEH-674,Yes,Brunei-Muara,8,High Demand Zone,1,5/9/2023,Pass
2025-01-25,17:14:49,"""CNR1552056""",Completed,"""CID6419575""",Compact,Sengkurong,Bangar,5.3,43.3,1.0,,,13.18,4.8,4.0,Online Banking,3.4,Belait,Brunei-Muara,Ahmad Zaki,0.56,2.46,January,2024,Monday,0.0,11.1,OFF-200169,1/29/2024 17:14,accepted,1/29/2024 17:14,SESS-75925,1/29/2024 13:14,1/29/2024 19:14,1/29/2024 17:14,2025-01-25 09:46:00,2025-01-25 09:51:00,2025-01-25 09:54:00,2025-01-25 10:37:00,1/29/2024 17:16,4.51246,114.39622,4.87596,114.88295,3.5,3.92,3.46,14.6,FQ-8820,INV-663993,BND,VEH-696,Yes,Brunei-Muara,11,High Demand Zone,6,7/20/2023,Pass
2025-01-15,14:53:05,"""CNR9806462""",Cancelled by Driver,"""CID3361602""",Compact,Bangar,Lumut,14.3,42.5,,,,8.12,4.6,4.2,Dart Wallet,13.31,Brunei-Muara,Belait,Dayangku Siti,1.89,11.1,April,2024,Saturday,0.0,7.0,OFF-200187,4/6/2024 14:52,accepted,4/6/2024 14:52,SESS-38322,4/6/2024 12:53,4/6/2024 17:53,4/6/2024 14:53,2025-01-15 22:00:00,2025-01-15 22:05:00,2025-01-15 22:09:00,2025-01-15 22:41:00,4/6/2024 15:00,4.90633,114.94813,4.66645,114.22783,3.5,3.92,3.4,16.02,FQ-8440,INV-511256,BND,VEH-618,Yes,Tutong,4,High Demand Zone,6,9/25/2023,Pass
2025-01-19,15:02:29,"""CNR6886384""",Completed,"""CID6455263""",Compact,Mentiri,Lambak,13.0,10.2,,,,26.53,4.9,3.5,Card,13.89,Belait,Brunei-Muara,Zulhelmi Ishak,1.96,10.77,November,2024,Tuesday,0.0,5.5,OFF-200014,11/19/2024 15:02,accepted,11/19/2024 15:02,SESS-38008,11/19/2024 10:02,11/19/2024 17:02,11/19/2024 15:02,2025-01-19 19:34:00,2025-01-19 19:35:00,2025-01-19 19:42:00,2025-01-19 20:11:00,,4.57292,114.14499,4.85556,114.96281,3.5,7.24,0.82,19.45,FQ-8698,INV-370782,BND,VEH-353,Yes,Temburong,4,High Demand Zone,6,1/8/2023,Pass
